#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 275761:5043 | 06/25/16 04:24:16 | 9    | 9    | 1949288.484    | 1706814.919   |
| 275767:5043 | 06/25/16 05:31:36 | 4    | 4    | 818324.436     | 722032.655    |
| 275772:5043 | 06/25/16 06:28:17 | 56   | 56   | 11014076.350   | 10594354.027  |
| 275773:5043 | 06/25/16 06:53:33 | 7    | 7    | 1355066.115    | 1209542.133   |
| 275774:5043 | 06/25/16 07:01:55 | 312  | 312  | 58980735.214   | 56385797.450  |
| 275776:5043 | 06/25/16 09:11:23 | 140  | 140  | 25114010.321   | 23844819.394  |
| 275777:5043 | 06/25/16 10:12:24 | 300  | 300  | 51196623.620   | 49161764.584  |
| 275778:5043 | 06/25/16 12:13:15 | 305  | 305  | 48727864.264   | 46971370.652  |
| 275782:5043 | 06/25/16 14:44:49 | 761  | 761  | 106332765.903  | 102352560.172 |
| 275832:5045 | 06/26/16 17:18:04 | 367  | 367  | 79186136.678   | 74243062.618  |
| 275833:5045 | 06/26/16 19:45:07 | 248  | 248  | 49203388.925   | 47422478.958  |
| 275834:5045 | 06/26/16 21:26:02 | 297  | 297  | 55309087.090   | 53227355.782  |
| 275835:5045 | 06/26/16 23:24:23 | 13   | 13   | 2328383.364    | 2121590.895   |
| 275836:5045 | 06/26/16 23:32:00 | 1277 | 1277 | 198713871.771  | 189644121.048 |
| 275837:5045 | 06/27/16 07:59:11 | 715  | 715  | 88581900.718   | 85911906.190  |
| 275847:5045 | 06/27/16 13:59:22 | 2263 | 2263 | 210336072.522  | 205316609.057 |
| 275886:5048 | 06/28/16 08:40:35 | 37   | 37   | 8224673.781    | 7744154.853   |
| 275890:5048 | 06/28/16 09:27:45 | 1392 | 1392 | 251016489.773  | 241038016.589 |
| 275911:5052 | 06/29/16 01:49:35 | 377  | 377  | 78195417.814   | 74878108.405  |
| 275912:5052 | 06/29/16 04:21:23 | 289  | 289  | 55383586.960   | 53245958.710  |
| 275913:5052 | 06/29/16 06:19:55 | 475  | 475  | 82677952.709   | 78576586.835  |
| 275918:5052 | 06/29/16 09:29:20 | 332  | 332  | 52855026.780   | 51039088.804  |
| 275920:5052 | 06/29/16 11:56:25 | 459  | 459  | 65578552.281   | 62972829.338  |
| 275921:5052 | 06/29/16 14:59:30 | 8    | 8    | 1101040.168    | 1032540.440   |
| 275923:5052 | 06/29/16 15:17:42 | 114  | 114  | 15360789.558   | 14915918.861  |
| 275931:5052 | 06/29/16 16:34:22 | 85   | 85   | 11034897.908   | 10722080.834  |
| 275963:5056 | 06/30/16 01:02:54 | 90   | 90   | 21060811.178   | 19953501.924  |
| 276092:5060 | 07/01/16 02:14:32 | 76   | 76   | 16118847.415   | 15083053.906  |
| 276097:5060 | 07/01/16 03:07:31 | 507  | 507  | 105900452.415  | 101625242.318 |
| 276242:5069 | 07/02/16 14:05:34 | 1644 | 1644 | 289402593.736  | 275473847.283 |
| 276243:5069 | 07/03/16 00:56:20 | 608  | 608  | 84829446.705   | 80002977.126  |
| 276244:5069 | 07/03/16 05:04:17 | 1200 | 1200 | 141385790.371  | 136344065.622 |
| 276282:5071 | 07/03/16 18:15:01 | 1066 | 1066 | 219081620.105  | 210161541.213 |
| 276283:5071 | 07/04/16 01:14:13 | 1085 | 1085 | 177987831.837  | 171192116.106 |
| 276315:5072 | 07/04/16 11:19:05 | 175  | 175  | 36496967.049   | 34592805.682  |
| 276317:5072 | 07/04/16 12:33:38 | 136  | 136  | 27889503.574   | 26892256.997  |
| 276318:5072 | 07/04/16 13:30:33 | 566  | 566  | 103830608.988  | 100279131.747 |
| 276355:5073 | 07/04/16 21:39:48 | 33   | 33   | 6611317.250    | 6337750.950   |
| 276361:5073 | 07/04/16 22:36:15 | 824  | 824  | 159102040.261  | 153033538.256 |
| 276363:5073 | 07/05/16 04:07:36 | 1478 | 1478 | 221745815.863  | 212058213.970 |
| 276384:5073 | 07/05/16 13:47:06 | 1116 | 1116 | 128872089.668  | 125193608.313 |
| 276437:5076 | 07/06/16 02:58:47 | 2125 | 2125 | 379474108.177  | 364937772.598 |
| 276454:5076 | 07/06/16 18:08:15 | 527  | 527  | 67781643.254   | 65824328.594  |
| 276458:5076 | 07/07/16 02:00:22 | 341  | 341  | 35011894.215   | 34208739.803  |
| 276495:5078 | 07/07/16 11:20:57 | 182  | 182  | 40740299.446   | 38883684.433  |
